SELLER_GEOLOCATION_KEY,SELLER_ZIP_CODE_PREFIX,CITY,STATE,LATITUDE,LONGITUDE
5512,15070,Sao Jose Do Rio Preto,São Paulo,-20.818007214067112,-49.36232011848672
5513,15075,Sao Jose Do Rio Preto,São Paulo,-20.82161096539281,-49.352930673334
5514,15076,Sao Jose Do Rio Preto,São Paulo,-20.83204463656363,-49.353344803737485
5517,15081,Sao Jose Do Rio Preto,São Paulo,-20.84479469089261,-49.36263006718716
5520,15085,Sao Jose Do Rio Preto,São Paulo,-20.83620882180299,-49.38807095699605
5525,15093,Sao Jose Do Rio Preto,São Paulo,-20.855380218943672,-49.410999511658055
5531,15115,Bady Bassitt,São Paulo,-20.91711533777068,-49.45081883954137
5533,15130,Mirassol,São Paulo,-20.814771998995397,-49.50692752488179
5534,15131,Mirassol,São Paulo,-20.81151050221176,-49.52890704878265
5538,15137,Mirassol,São Paulo,-20.821706801126325,-49.492487237585365
5544,15155,Jaci,São Paulo,-20.884709308834225,-49.57192076295022
5546,15170,Tanabi,São Paulo,-20.623521591055777,-49.65195844976547
5548,15190,Nhandeara,São Paulo,-20.693537430599772,-50.04249909268568
5564,15290,Buritama,São Paulo,-21.067287508771532,-50.14440187114213
5572,15350,Auriflama,São Paulo,-20.685083174259976,-50.55462075520381
5581,15400,Olimpia,São Paulo,-20.73752999199967,-48.9090364662508
5595,15500,Votuporanga,São Paulo,-20.42026978181765,-49.97168387901127
5597,15502,Votuporanga,São Paulo,-20.41636375533089,-49.98500395424029
5600,15505,Votuporanga,São Paulo,-20.422763825096677,-49.966737537480064
5613,15600,Fernandopolis,São Paulo,-20.284122537295133,-50.2497039381375
5614,15601,Fernandopolis,São Paulo,-20.29330884502038,-50.25631824612264
5615,15603,Fernandopolis,São Paulo,-20.286928433684377,-50.24182343876857
5633,15704,Jales,São Paulo,-20.280018460507243,-50.551435046389685
5659,15800,Catanduva,São Paulo,-21.141358026695467,-48.97534937731129
5661,15802,Catanduva,São Paulo,-21.14338895195698,-48.99531395681967
5662,15803,Catanduva,São Paulo,-21.12872615950517,-48.99295367914728
5663,15804,Catanduva,São Paulo,-21.12102843224972,-48.97081828471117
5664,15805,Catanduva,São Paulo,-21.12241501822202,-48.96331895137841
5665,15806,Catanduva,São Paulo,-21.1326115703225,-48.95877121445766
5666,15807,Catanduva,São Paulo,-21.12384851479828,-48.951292084394325
5669,15810,Catanduva,São Paulo,-21.1541427150983,-48.97133354086965
5672,15813,Catanduva,São Paulo,-21.12894493607704,-49.01716861638244
5680,15840,Itajobi,São Paulo,-21.31499774715289,-49.055417305075984
5681,15845,Marapoama,São Paulo,-21.256794218570786,-49.1302214871592
5694,15910,Monte Alto,São Paulo,-21.263459220114285,-48.495496727506335
5698,15940,Fernando Prestes,São Paulo,-21.267134804144064,-48.68667852430124
5714,16012,Aracatuba,São Paulo,-21.211705991894554,-50.40363945155295
5720,16021,Aracatuba,São Paulo,-21.227537006658547,-50.45588703268647
5721,16022,Aracatuba,São Paulo,-21.232308702656155,-50.46392319046967
5734,16072,Aracatuba,São Paulo,-21.201786668449525,-50.45806674629396
5735,16074,Aracatuba,São Paulo,-21.193288718426636,-50.45279406867943
5742,16200,Birigui,São Paulo,-21.294953796324272,-50.34326735573279
5750,16208,Birigui,São Paulo,-21.24488368072713,-50.32219195367088
5755,16250,Clementina,São Paulo,-21.56018491317655,-50.445800319817664
5761,16300,Penapolis,São Paulo,-21.42071989648959,-50.07647119060041
5762,16301,Penapolis,São Paulo,-21.427002247037205,-50.06500913181639
5764,16304,Penapolis,São Paulo,-21.437402661479663,-50.07693057198177
5766,16306,Penapolis,São Paulo,-21.414851214679825,-50.088172776728285
5783,16480,Guaimbe,São Paulo,-21.90997953797039,-49.89617225055718
5784,16500,Cafelandia,São Paulo,-21.80320059939524,-49.60221269289013
5796,16800,Mirandopolis,São Paulo,-21.132503677693613,-51.10318656308274
5810,17011,Bauru,São Paulo,-22.33188344990011,-49.053751555245526
5816,17017,Bauru,São Paulo,-22.347194498048676,-49.05968914675232
5817,17018,Bauru,São Paulo,-22.359934494958647,-49.05132453354305
5824,17026,Bauru,São Paulo,-22.29471390499049,-49.04569576676685
5826,17030,Bauru,São Paulo,-22.322001161380253,-49.045751302709554
5828,17032,Bauru,São Paulo,-22.32247412421866,-49.02934087244578
5834,17047,Bauru,São Paulo,-22.336423220379874,-49.04337431544968
5837,17051,Bauru,São Paulo,-22.330985092726326,-49.09994406784408
5838,17052,Bauru,São Paulo,-22.340760688078756,-49.09506969646532
5842,17056,Bauru,São Paulo,-22.353827052221806,-49.1014713601243
5860,17201,Jau,São Paulo,-22.294360298173427,-48.55852368838735
5868,17209,Jau,São Paulo,-22.27524896702239,-48.54358425082655
5869,17210,Jau,São Paulo,-22.285564358190705,-48.53505780924214
5876,17230,Itapui,São Paulo,-22.23455857964727,-48.7218350021753
5878,17250,Bariri,São Paulo,-22.074022270567585,-48.74025621655563
5881,17280,Pederneiras,São Paulo,-22.348013116995094,-48.78449569702055
5884,17290,Macatuba,São Paulo,-22.514093447641567,-48.71694212220494
5885,17300,Dois Corregos,São Paulo,-22.368024597233408,-48.3862619792224
5887,17320,Mineiros Do Tiete,São Paulo,-22.41339600173933,-48.45129697299396
5889,17350,Igaracu Do Tiete,São Paulo,-22.516187213174263,-48.56280548602923
5891,17370,Santa Maria Da Serra,São Paulo,-22.569639672881543,-48.15539870681134
5892,17380,Brotas,São Paulo,-22.282154968038324,-48.12510155957027
5894,17400,Garca,São Paulo,-22.211471483564303,-49.65862497197638
5910,17500,Marilia,São Paulo,-22.21807153723716,-49.95022135910164
5914,17504,Marilia,São Paulo,-22.213865032134283,-49.95851972439904
5915,17505,Marilia,São Paulo,-22.20185839938673,-49.968323182105024
5916,17506,Marilia,São Paulo,-22.20342137980158,-49.95906782582629
5918,17509,Marilia,São Paulo,-22.212335154405466,-49.94566118521495
5919,17510,Marilia,São Paulo,-22.197206766114306,-49.95219526811751
5920,17511,Marilia,São Paulo,-22.17914109168324,-49.95694812195039
5921,17512,Marilia,São Paulo,-22.15880124499385,-49.96150594898236
5923,17514,Marilia,São Paulo,-22.185586681748312,-49.92633365043049
5924,17515,Marilia,São Paulo,-22.211054243453667,-49.938798019286814
5927,17520,Marilia,São Paulo,-22.239089540413712,-49.92502404183078
5940,17560,Vera Cruz,São Paulo,-22.22217393101984,-49.822674319538606
5942,17580,Pompeia,São Paulo,-22.10367343012363,-50.17893613850754
5944,17600,Tupa,São Paulo,-21.934484546249056,-50.51398229430691
5946,17602,Tupa,São Paulo,-21.930547778284403,-50.49834751389763
5948,17604,Tupa,São Paulo,-21.94309144003516,-50.51676304094405
5949,17605,Tupa,São Paulo,-21.93506719324893,-50.52481882516593
5950,17606,Tupa,São Paulo,-21.928465491539185,-50.525683571124965
5959,17700,Osvaldo Cruz,São Paulo,-21.79571101928944,-50.879277765103
5974,17900,Dracena,São Paulo,-21.48639335970809,-51.53374414399384
5986,18015,Sorocaba,São Paulo,-23.5027546265632,-47.43045059256107
5988,18017,Sorocaba,São Paulo,-23.492578215801903,-47.41091670439589
5993,18025,Sorocaba,São Paulo,-23.51561244157365,-47.44346053722513
5994,18030,Sorocaba,São Paulo,-23.510538970251265,-47.45966978985545
5996,18035,Sorocaba,São Paulo,-23.501008718763483,-47.46202591726421
5997,18040,Sorocaba,São Paulo,-23.50554795017668,-47.46970526393222
5999,18044,Sorocaba,São Paulo,-23.510186495798685,-47.47802969404192
6002,18047,Sorocaba,São Paulo,-23.520376831300773,-47.46298465265633
6003,18048,Sorocaba,São Paulo,-23.536889528171127,-47.46968686008559
6006,18052,Sorocaba,São Paulo,-23.53173194533856,-47.49980351058789
6007,18053,Sorocaba,São Paulo,-23.50113158753629,-47.51857928049102
6009,18055,Sorocaba,São Paulo,-23.497316500688548,-47.5016021640742
6012,18060,Sorocaba,São Paulo,-23.491386351129066,-47.47060625398321
6016,18070,Sorocaba,São Paulo,-23.473530654207146,-47.483469553604266
6018,18072,Sorocaba,São Paulo,-23.43354752315602,-47.50917936639681
6020,18074,Sorocaba,São Paulo,-23.453584506332756,-47.48851312145476
6022,18076,Sorocaba,São Paulo,-23.464204707776595,-47.47145666010212
6026,18080,Sorocaba,São Paulo,-23.485222804707004,-47.45986989975185
